station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SCR184,Hartwood,HTW,,,,55.810532,-3.839792,,,,,,,,,,,,,,,,,,,,,,,
SCR185,Hawkhead,HKH,,,,55.843136,-4.398792,,,,,,,,,,,,,,,,,,,,,,,
SCR186,Haymarket,HYM,,,,55.945854,-3.218458,,,,,,,,,,,,,,,,,,,,,,,
SCR187,Helensburgh Central,HLC,,,,56.004261,-4.732803,,,,,,,,,,,,,,,,,,,,,,,
SCR188,Helensburgh Upper,HLU,,,,56.013268,-4.73184,,,,,,,,,,,,,,,,,,,,,,,
SCR189,Helmsdale,HMS,,,,58.117737,-3.660068,,,,,,,,,,,,,,,,,,,,,,,
SCR190,High Street,HST,,,,55.858719,-4.239953,,,,,,,,,,,,,,,,,,,,,,,
SCR191,Hillfoot,HLF,,,,55.920143,-4.32032,,,,,,,,,,,,,,,,,,,,,,,
SCR192,Hillington East,HLE,,,,55.854778,-4.354768,,,,,,,,,,,,,,,,,,,,,,,
SCR193,Hillington West,HLW,,,,55.85537,-4.370778,,,,,,,,,,,,,,,,,,,,,,,
SCR194,Holytown,HLY,,,,55.812943,-3.973967,,,,,,,,,,,,,,,,,,,,,,,
SCR195,Howwood,HOZ,,,,55.811,-4.56,,,,,,,,,,,,,,,,,,,,,,,
SCR196,Huntly,HNT,,,,57.444401,-2.776354,,,,,,,,,,,,,,,,,,,,,,,
SCR197,Hyndland,HYN,,,,55.879803,-4.314715,,,,,,,,,,,,,,,,,,,,,,,
SCR198,Insch,INS,,,,57.33749,-2.616279,,,,,,,,,,,,,,,,,,,,,,,
SCR199,Invergordon,IGD,,,,57.688587,-4.175563,,,,,,,,,,,,,,,,,,,,,,,
SCR200,Invergowrie,ING,,,,56.456795,-3.057897,,,,,,,,,,,,,,,,,,,,,,,
SCR201,Inverkeithing,INK,,,,56.034725,-3.39621,,,,,,,,,,,,,,,,,,,,,,,
SCR202,Inverkip,INP,,,,55.905781,-4.873089,,,,,,,,,,,,,,,,,,,,,,,
SCR203,Inverness,INV,,,,57.480194,-4.223199,,,,,,,,,,,,,,,,,,,,,,,
SCR204,Inverness Airport,IVA,,,,57.5335,-4.0552,,,,,,,,,,,,,,,,,,,,,,,
SCR205,Invershin,INH,,,,57.925362,-4.399288,,,,,,,,,,,,,,,,,,,,,,,
SCR206,Inverurie,INR,,,,57.286343,-2.373224,,,,,,,,,,,,,,,,,,,,,,,
