crs,terminus
BRI,ABD|AVN|BHM|BPW|BRI|BTH|CDF|CFN|EDB|EXD|EXM|FIT|FRO|GCR|GLC|GMV|LDS|MAN|NCL|NQY|OXF|PAD|PGN|PLY|PMH|PMS|PNZ|SAL|SSD|SVB|SWA|TAU|WEY|WMN|WOF|WOS|WSB|WSM
BRK,BAL|BTN|EBN|HGS|HHE|ORE|PLG|WSW|XSU
BRL,AYR|GLC|KMK|STR
BRM,MCN|PWL
BRN,ADR|BHG|CUB|EDB|MLN|MTH|SPR
BRO,EDB|FTW|GLQ|MLG
BRP,HPQ|IPS|LWT|NRW
BRR,AYR|BRR|CAR|DMF|GIR|GLC|KMK
BRS,BMH|BRS|NEM|RAY|SOU|SUR
BRU,BRI|GCR|PAD|PNZ|SAL|WEY|WSB|YVJ|YVP
BRV,BHM|BMV|FOK|LIC|LIF|LOB|RDC
BRW,HNX|LVC|OMS|SDL
BRX,AFK|BTH|CBW|DFD|DVP|FAV|FKW|GLM|HOV|MDW|ORP|RAM|XVJ
BRY,BGD|BGN|BYI|CDF|CMN|CPH|MST|PAD|RHY|SWA|YSM
BSB,CRE|GMB|LCN|NCT|NOT
BSC,BHI|BHM|CRE|EUS|INV|LIV|RGL|SHR|WSL|WVH
BSD,AFK|CHX|RAM|XVJ
BSE,BSE|CBG|COL|HPQ|IPS|PBO
BSH,EUS|MKC|NMP|TRI
BSI,ARB|DEE|GLQ
BSJ,BDM|BLY
BSK,BHM|BMH|BSK|BTH|EXD|GIL|HOV|MAN|NCL|NEM|PMH|POO|QRB|RDG|SAL|SOU|STA|WEY|WOK|WSB|XFB|YVJ|YVP
BSL,FTW|GLQ|MLG
BSM,BCU|BMH|NEM|POO|SOU|WEY|WIN|WOK
BSN,BSN|NOT|SKG
BSO,FST|LES|SOC|SRY
BSP,IMW|KWG|SRA|WJH|WJL
BSR,AFK|CHX|CST|FAV|GLM|MAR|RAM|RTR|SPX|XVJ
BSS,AYR|GLC
BSU,EDB|TWB
BSV,BIF|BPN|MIA
BSW,BAN|BSW|DDG|KID|LMS|MYB|SAV|SBJ|WOF|WOS|WTE
BSY,IMW|KWG|SRA|WJH|WJL
BTB,CLE|GMB|LIV|MAT|NNG|NOT|SHF
BTD,LDS|SHF|YRK
BTE,PMH|PMS|SOU
BTF,BSN|LIV|NOT|PBO|SKG
BTG,ABD|BHM|BMV|BRI|CDF|EDB|FOK|GCR|GLC|GMV|HFD|LDS|LIC|LIF|MAN|NCL|NOT|PGN|PLY|PNZ|RDC|SSD|WOF|WOS
BTH,BNS|BRI|BTH|CDF|FIT|FRO|GCR|OXF|PAD|PMH|PMS|PNZ|SAL|SWA|TAU|WEY|WMN|WSB|WSM
BTL,BDI|DEW|HBD|HUD|HUL|LDS|MAN|NCL|YRK
BTN,BAK|BAL|BDM|BOG|BTN|CBG|CCH|EBN|HAV|HGS|LIT|LWS|NVH|ORE|PMH|PMS|SEF|SOU|WRH|WSW|WWO
BTO,GTW|RDG|RDH|RDZ
BTP,BTR|LST|SNF|WTM
BTR,BTR|LST|SNF|WTM
BTS,ABD|DEE|DON|EDB|GLT|HNT|KGX|KIN|LEV|PLY|PTH
BTT,MBR|NCL|WTB
BTY,AON|FNH|NEM|WOK
BUA,BUA|OKE
BUB,CNE|PRE
BUC,LWT|NRW
BUD,MIA|OXN|PRE|WDM
BUE,COL|MKT|SUY
BUG,BAK|BAL|BDM|BOG|BTN|CBG|HHE|LIT|WRH|WSW|XSU
BUH,BDT|BEV|DON|HFX|HUL|KGX|LDS|MAN|SBY|SCA|SHF|YRK
BUI,GLC|NTN
BUJ,CLE|CRE|GMB|LCN|MAT|NCT|NOT
BUK,LLE|SHR|SWA
BUL,BHM|BMV|LIC|LIF|LOB
BUO,BTN|HRH|NEM|PMH|PMS|SOU|WOK
BUS,EKL|GLC
BUT,ABD|BHM|BMH|BRI|CDF|EDB|GCR|GLC|LDS|NCL|NOT|PLY|PNZ|RDG|YRK
BUU,LST|SMN|WIC
BUW,BDQ|ILK|LDS
BUX,BUX|MAN
BUY,HGT|HRS|KNA|LDS|YRK
BVD,CHX|CST|DFD|GLM|LUT|RAI|XKE
BWB,BDM|BLY
BWD,CLE|DON|LIV|MAN|MCO|MIA|NCL|NOT|NRW|SHF|WAC
BWE,BWE|WSM
BWG,ADR|BHC|DMR|HLC|SPR
BWK,ABD|BHM|BRI|BWK|CDF|DON|EDB|GLC|GLQ|INV|KGX|NCL|PLY|PNZ|XAA
BWN,BHI|BHM|RGL|WVH
BWO,SAA|WFJ
BWR,BWR|CPG|MIM
BWS,LCN|LEI|NOT
BWT,ABD|BHM|BIB|BRI|CDF|EDB|EXD|EXM|GCR|GLC|LDS|MAN|NCL|NQY|PAD|PGN|PLY|PNZ|SLO|SVB|TAU
BXB,BIS|CBG|CMB|ELY|HFE|LST|SRA|SSD|TOM
BXD,UCK|XSU
BXH,CHX|CST|DFD|GRV|RAI|RTR|XVJ
BXS,AMS|BXS|SPX
BXW,BAK|BAL|DKG|EAD|HRH
BXX,HRH
BXY,BFR|CHX|CST|DFD|GLM|GRV
BYA,GYM|NRW
BYB,CRE|LCN|NOT
BYC,BFF|BNG|BYC|CEN|LLD
BYD,BGD|BGN|BYI|CDF|CPH|RHY|YSM
BYE,LLE|LLV|SHR|SWA
BYF,ABD|ARB|DEE|DON|EDB|GLQ|HNT|INR|INV|KGX|PLY|PTH
BYI,BGD|BYI|CDF|CPH|RHY|YSM
BYK,AWK|DON|LDS|SHF
BYL,ARB|DEE|GLQ
BYM,BBN|BPN|LDS|RCD|YRK
BYN,BPN|LIV|PRE|WGN
BYS,BIF|CKL|LAN|PRE
CAA,LMS|NUN
CAC,ADR|BHG|EDB|GRS|HLC|MLN
CAD,BGD|BGN|BYI|CDF|CMN|CPH|MST|PAD|RHY|SWA|YSM
CAE,PAQ|SHQ
CAG,CAG|EDB|EUS|GLQ|INV|KGX
CAK,BIF|CKL|LAN|MIA|MLM|PRE
CAM,ACT|AHT|FNH|QRB
CAN,ABD|ARB|DEE|DON|EDB|GLQ|HNT|INR|INV|KGX|PLY|PTH
CAO,BHI|BHM|RGL|WVH
CAP,BNG|BYC|CEN
CAR,CAR|CRE|DMF|EDB|EUS|GLC|HPL|LDS|LIV|MBR|MIA|NCL|STG|WTH
CAS,MCV|RCD
CAT,CAT|XSU
CAU,LOO|LSK
CAX,PAQ|SHQ
CAY,ADR|BHC|BHG|EDB|FTW|GRS|HLC|MLN
CBB,PNZ|SER|SIV
CBC,CUB|DMR|EUS|MLN|STG
CBD,ARD|DIN|IGD|INV|KYL|TAI|WCK
CBE,DVP|FAV|FKW|XVJ
CBG,BHM|BIS|BTN|CBG|CMB|ELY|HPQ|IPS|KGX|KLN|LST|LWT|NRW|SRA|SSD
CBH,CHI|CHN|ELY|ENF|HFE|LST|SSD
