station_id,station_name,crs,operator,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band,route,county
,Holmwood,HLM,Southern,,,,BAK|HRH,False,,,,,,,,,,,,,,,,,70.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR064,70.0,,False,regional,,
SO_000073,Horley,HOR,Southern,51.168137,-0.161994,False,BAL|BDM|BTN|CBG|GTW|HRH|LIT|LUT|ORE|PBO|PMH|RDH|RDZ|TBD|WRH|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR048,13.5,0-30,False,inner,,Surrey
,Horsham,HRH,Southern,,,,BAK|BAL|BDM|BOG|CCH|GTW|HRH|PBO|PMH|PMS|WSW|XSU,False,,,,,,,,,,,,,,,,,55.0,,,,['Arun Valley'],Arun Valley,False,True,False,single,False,False,SR066,55.0,,False,commuter,,
SO_000075,Hove,HOV,Southern,50.835514,-0.170824,False,BAL|BOG|BTN|CCH|HAV|HHE|HOV|LIT|PMH|PMS|SOU|WRH|WSW|WWO|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR049,22.5,0-30,False,outer,,Brighton and Hove
,Hurst Green,HGD,Southern,,,,BDW|EXD|FRO|NBY|NRC|PAD|PLY|PNZ|RDG|WSB,False,,,,,,,,,,,,,,,,,45.0,,,,"['East Grinstead Branch', 'Uckfield Branch']",East Grinstead Branch,True,False,False,multiple,False,False,SR068,45.0,,False,commuter,,
,Kensington Olympia,KPA,Southern,51.497753,-0.210189,False,CHY|ECR|IMW|SFR|SPB|SRA|WFJ|WJH,False,,,,,,,,,,,,,1.0,1.0,low,few,13.5,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR050,13.5,0-30,False,inner,,England
SO_000080,Lancing,LAC,Southern,50.827015,-0.323103,False,BAL|BOG|BTN|CCH|HAV|HHE|LIT|PMH|PMS|SOU|WRH|WSW|WWO|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,27.0,0-30,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR051,27.0,0-30,False,outer,,West Sussex
SO_000083,Lewes,LWS,Southern,50.870281,0.012455,False,BAK|BAL|BTN|EBN|HGS|HHE|LWS|NVH|ORE|PLG|SEF|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR052,31.5,30-60,False,outer,,East Sussex
,Lingfield,LFD,Southern,,,,BAK|BAL|BDM|EGR|WHP|WSW|XSU,False,,,,,,,,,,,,,,,,,50.0,,,,['East Grinstead Branch'],East Grinstead Branch,True,False,False,single,False,False,SR072,50.0,,False,commuter,,
SO_000085,Littlehampton,LIT,Southern,50.810226,-0.546547,False,BAL|BOG|BTN|CCH|HHE|LIT|PMS|SOU|WSW|XSU,False,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR053,36.0,30-60,False,outer,,West Sussex
,London Bridge,LBG,Southern,51.505035,-0.085058,True,,False,,,,,,,,,,,,,1.0,1.0,low,few,0.0,,2.0,8.0,"['Thameslink Core', 'Southern Thameslink Branches']",Thameslink Core,False,True,False,multiple,True,False,SR054,0.0,,False,inner,,England
SO_000087,London Road (Brighton),LRB,Southern,50.836773,-0.136696,False,BTN|EBN|HGS|LWS|NVH|ORE|SEF,False,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,multiple,False,False,SR055,22.5,0-30,False,outer,,Brighton and Hove
,London Victoria,VIC,Southern,51.4966,-0.1448,True,,False,,,,,,,,,,,,,2.0,2.0,medium,some,0.0,,4.0,6.0,"['Brighton Main Line', 'Portsmouth Direct']",Brighton Main Line,False,True,False,multiple,True,False,SR056,0.0,,False,inner,,England
,London Waterloo,WAT,Southern,51.501865,-0.111126,True,,False,,,,,,,,,,,,,1.0,1.0,low,few,0.0,,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,True,False,SR057,0.0,,False,inner,,Greater London
SO_000088,Merstham,MHM,Southern,51.264164,-0.149555,False,BAK|BAL|BDM|BTN|HRH|PBO|REI|TBD|WSW,False,,,,,,,,,,,,,1.0,1.0,low,few,22.5,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR058,22.5,0-30,False,outer,,Surrey
