station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score,route_groups,region,is_branch_line,is_mainline,is_coastal,word_count_band,is_interchange,is_terminus,route_station_id,canonical_time_to_london,time_group,is_high_speed,distance_band
SR074,Robertsbridge,RBR,,,,50.984726,0.469092,False,,,,,,,,,,,,,,,1.0,1.0,low,few,76.5,60-120,2.0,8.0,['East Coastway'],East Coastway,False,True,True,single,False,False,SR074,76.5,60-120,False,regional
SR075,Salfords,SAF,,,,51.201412,-0.162096,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Brighton Main Line'],Brighton Main Line,False,True,False,single,False,False,SR075,18.0,0-30,False,inner
SR076,Selhurst,SRS,,,,51.392704,-0.089759,False,,,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,['Sutton & Metro'],Sutton & Metro,False,True,False,single,False,False,SR076,9.0,0-30,False,inner
SR077,Sevenoaks,SEV,,,,51.27734,0.182193,False,,,,,,,,,,,,,,,1.0,1.0,low,few,36.0,30-60,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,single,False,False,SR077,36.0,30-60,False,outer
SR078,Shepherds Bush,SPB,,,,51.506,-0.218,True,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,True,False,SR078,18.0,0-30,False,inner
SR079,Shoreham (Kent),SEH,,,,51.332092,0.187665,False,,,,,,,,,,,,,,,1.0,1.0,low,few,18.0,0-30,2.0,8.0,['Southern Thameslink Branches'],Southern Thameslink Branches,False,True,False,multiple,False,False,SR079,18.0,0-30,False,inner
SR080,Shoreham-by-Sea,SSE,,,,50.834358,-0.271709,False,,,,,,,,,,,,,,,1.0,1.0,low,few,31.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR080,31.5,30-60,False,outer
SR081,South Croydon,SCY,,,,51.362194,-0.093903,False,,,,,,,,,,,,,,,1.0,1.0,low,few,9.0,0-30,2.0,8.0,"['East Grinstead Branch', 'Uckfield Branch']",East Grinstead Branch,True,False,False,multiple,False,False,SR081,9.0,0-30,False,inner
SR082,Southampton Central,SOU,,,,50.907742,-1.413983,True,,,,,,,,,,,,,,,2.0,2.0,medium,some,53.0,30-60,4.0,6.0,['Portsmouth Direct'],Portsmouth Direct,False,True,False,multiple,True,False,SR082,53.0,30-60,False,commuter
SR083,Southbourne,SOB,,,,50.848343,-0.907601,False,,,,,,,,,,,,,,,1.0,1.0,low,few,40.5,30-60,2.0,8.0,['West Coastway'],West Coastway,False,True,True,single,False,False,SR083,40.5,30-60,False,commuter
