station_id,network,route_station_id,crs,station_name,route_group
SCR204,Scotrail,SC0204,IVA,Inverness Airport,
SCR205,Scotrail,SC0205,INH,Invershin,
SCR206,Scotrail,SC0206,INR,Inverurie,
SCR207,Scotrail,SC0207,IRV,Irvine,
SCR208,Scotrail,SC0208,JHN,Johnstone,
SCR209,Scotrail,SC0209,JOR,Jordanhill,
SCR210,Scotrail,SC0210,KEH,Keith,
SCR211,Scotrail,SC0211,KVD,Kelvindale,
SCR212,Scotrail,SC0212,KNS,Kennishead,
SCR213,Scotrail,SC0213,KIL,Kildonan,
SCR214,Scotrail,SC0214,KMK,Kilmarnock,
SCR215,Scotrail,SC0215,KLM,Kilmaurs,
SCR216,Scotrail,SC0216,KPT,Kilpatrick,
SCR217,Scotrail,SC0217,KWN,Kilwinning,
SCR218,Scotrail,SC0218,KBC,Kinbrace,
SCR219,Scotrail,SC0219,KGH,Kinghorn,
SCR220,Scotrail,SC0220,KGP,Kings Park,
SCR221,Scotrail,SC0221,KGE,Kingsknowe,
SCR222,Scotrail,SC0222,KIN,Kingussie,
SCR223,Scotrail,SC0223,KTR,Kintore,
SCR224,Scotrail,SC0224,KDY,Kirkcaldy,
SCR225,Scotrail,SC0225,KRK,Kirkconnel,
SCR226,Scotrail,SC0226,KKH,Kirkhill,
SCR227,Scotrail,SC0227,KKN,Kirknewton,
SCR228,Scotrail,SC0228,KWD,Kirkwood,
SCR229,Scotrail,SC0229,KYL,Kyle of Lochalsh,
SCR230,Scotrail,SC0230,LDY,Ladybank,
SCR231,Scotrail,SC0231,LRG,Lairg,
SCR232,Scotrail,SC0232,LNK,Lanark,
SCR233,Scotrail,SC0233,LGB,Langbank,
SCR234,Scotrail,SC0234,LGS,Langside,
SCR235,Scotrail,SC0235,LBT,Larbert,
SCR236,Scotrail,SC0236,LAR,Largs,
SCR237,Scotrail,SC0237,LRH,Larkhall,
SCR238,Scotrail,SC0238,LAU,Laurencekirk,
SCR239,Scotrail,SC0239,LNZ,Lenzie,
SCR240,Scotrail,SC0240,LEU,Leuchars,
SCR241,Scotrail,SC0241,LEV,Leven,
SCR242,Scotrail,SC0242,LIN,Linlithgow,
