station_id,station_name,crs,route,terminus,interchange,paddington_minutes,latitude,longitude,country,distance_from_paddington_km,distance_band,coastal,zone,county
STN_cholsey,Cholsey,CHO,Great Western Main Line,FALSE,FALSE,45,51.570135,-1.157942,england,68.2,regional,FALSE,Thames Valley,Oxfordshire
STN_clifton_down,Clifton Down,CFN,Severn Beach Line,FALSE,FALSE,100,51.46423,-2.611761,england,168.7,long,FALSE,Bristol,Bristol
STN_colwall,Colwall,CWL,Oxford & Hereford Line,FALSE,FALSE,160,52.080284,-2.357489,england,162.6,long,FALSE,Cotswolds,Herefordshire
STN_combe,Combe,CME,Oxford & Hereford Line,FALSE,FALSE,60,51.832277,-1.392817,england,91,regional,FALSE,Cotswolds,Oxfordshire
STN_cookham,Cookham,COO,Marlow Branch,FALSE,FALSE,40,51.556873,-0.721948,england,38.1,local,FALSE,Thames Valley,Buckinghamshire
STN_coombe_junction_halt,Coombe Junction Halt,COE,Looe Valley Line,FALSE,FALSE,220,50.44479,-4.481655,england,324,remote,FALSE,,Cornwall
STN_copplestone,Copplestone,COP,Tarka Line,FALSE,FALSE,160,50.814228,-3.751624,england,261.2,long,FALSE,Devon,Devon
STN_crediton,Crediton,CDI,Tarka Line,FALSE,FALSE,150,50.783375,-3.646912,england,255.4,long,FALSE,Devon,Devon
STN_culham,Culham,CUM,Oxford & Hereford Line,FALSE,FALSE,50,51.653773,-1.236445,england,74.9,regional,FALSE,Cotswolds,Oxfordshire
STN_dawlish,Dawlish,DWL,Great Western Main Line,FALSE,FALSE,150,50.580692,-3.464583,england,252.3,long,TRUE,Thames Valley,Devon
STN_dawlish_warren,Dawlish Warren,DWW,Great Western Main Line,FALSE,FALSE,148,50.599311,-3.443903,england,250.1,long,TRUE,Thames Valley,Devon
STN_didcot_parkway,Didcot Parkway,DID,Great Western Main Line,FALSE,TRUE,40,51.611275,-1.242614,england,74.5,regional,FALSE,Thames Valley,Oxfordshire
STN_digby_and_sowton,Digby & Sowton,DIG,Exmouth Branch,FALSE,FALSE,148,50.716434,-3.474574,england,246.8,long,FALSE,Devon,Devon
STN_drayton_green,Drayton Green,DRG,Greenford Branch,FALSE,FALSE,13,51.516326,-0.330089,england,10.7,local,FALSE,London,Greater London
STN_ealing_broadway,Ealing Broadway,EAL,Great Western Main Line,FALSE,FALSE,10,51.51466,-0.300843,england,8.7,local,FALSE,Thames Valley,Greater London
STN_eggesford,Eggesford,EGG,Tarka Line,FALSE,FALSE,175,50.887848,-3.875235,england,267,long,FALSE,Devon,Devon
STN_evesham,Evesham,EVE,Oxford & Hereford Line,FALSE,FALSE,115,52.098793,-1.947413,england,138,regional,FALSE,Cotswolds,Worcestershire
STN_exeter_central,Exeter Central,EXC,Exmouth Branch,FALSE,FALSE,140,50.726471,-3.532973,england,250.2,long,FALSE,Devon,Devon
STN_exeter_st_davids,Exeter St Davids,EXD,Great Western Main Line,FALSE,TRUE,135,50.729019,-3.544387,england,250.8,long,FALSE,Thames Valley,Devon
STN_exmouth,Exmouth,EXM,Exmouth Branch,TRUE,FALSE,165,50.620937,-3.415035,england,247.2,long,TRUE,Devon,Devon
STN_exton,Exton,EXN,Exmouth Branch,FALSE,FALSE,158,50.668255,-3.443337,england,246.8,long,TRUE,Devon,Devon
STN_falmouth_docks,Falmouth Docks,FAL,Maritime Line,TRUE,FALSE,285,50.15075,-5.0559,england,374.7,remote,TRUE,Cornwall,Cornwall
STN_falmouth_town,Falmouth Town,FMT,Maritime Line,FALSE,FALSE,280,50.148392,-5.065443,england,375.4,remote,TRUE,Cornwall,Cornwall
STN_ferryside,Ferryside,FYS,South Wales Main Line,FALSE,FALSE,178,51.76833,-4.36952,wales,290.7,long,TRUE,South Wales,South Wales
STN_finstock,Finstock,FIN,Oxford & Hereford Line,FALSE,FALSE,70,51.85305,-1.47003,england,96.8,regional,FALSE,Cotswolds,Oxfordshire
STN_furze_platt,Furze Platt,FZP,Marlow Branch,FALSE,FALSE,30,51.533082,-0.728467,england,38.3,local,FALSE,Thames Valley,Buckinghamshire
STN_goring_and_streatley,Goring & Streatley,GOR,Great Western Main Line,FALSE,FALSE,40,51.521428,-1.133051,england,66.2,regional,FALSE,Thames Valley,Oxfordshire
STN_great_malvern,Great Malvern,GMV,Oxford & Hereford Line,FALSE,FALSE,155,52.109165,-2.318289,england,161.4,long,FALSE,Cotswolds,Worcestershire
STN_greenford,Greenford,GFD,Greenford Branch,TRUE,FALSE,15,51.54235,-0.3463,england,12.2,local,FALSE,London,Greater London
STN_gunnislake,Gunnislake,GSL,Tamar Valley Line,TRUE,FALSE,225,50.515992,-4.219437,england,303.9,remote,FALSE,Cornwall,Cornwall
STN_hanborough,Hanborough,HND,Oxford & Hereford Line,FALSE,FALSE,65,51.825172,-1.373471,england,89.5,regional,FALSE,Cotswolds,Oxfordshire
STN_hayes_and_harlington,Hayes & Harlington,HAY,Great Western Main Line,FALSE,FALSE,18,51.502973,-0.420785,england,17,local,FALSE,Thames Valley,Greater London
STN_hayle,Hayle,HYL,Great Western Main Line,FALSE,FALSE,285,50.186176,-5.419558,england,396.6,remote,TRUE,Thames Valley,Cornwall
STN_henley_on_thames,Henley-on-Thames,HOT,Henley Branch,TRUE,FALSE,50,51.534182,-0.900133,england,50.2,regional,FALSE,Thames Valley,Berkshire
STN_hereford,Hereford,HFD,Oxford & Hereford Line,TRUE,FALSE,180,52.060715,-2.708854,england,184.5,long,FALSE,Cotswolds,Herefordshire
STN_highbridge_and_burnham,Highbridge & Burnham,HIG,Great Western Main Line,FALSE,FALSE,115,51.218098,-2.972192,england,196.9,long,FALSE,Thames Valley,Somerset
STN_honeybourne,Honeybourne,HYB,Oxford & Hereford Line,FALSE,FALSE,105,52.101383,-1.834989,england,131.4,regional,FALSE,Cotswolds,Gloucestershire
STN_iver,Iver,IVR,Great Western Main Line,FALSE,FALSE,22,51.508342,-0.506659,england,22.9,local,FALSE,Thames Valley,Berkshire
STN_kidwelly,Kidwelly,KWL,South Wales Main Line,FALSE,FALSE,175,51.734299,-4.317046,wales,286.9,long,FALSE,South Wales,South Wales
STN_kingham,Kingham,KGM,Oxford & Hereford Line,FALSE,FALSE,90,51.902222,-1.629331,england,109,regional,FALSE,Cotswolds,Oxfordshire
STN_kings_nympton,Kings Nympton,KGN,Tarka Line,FALSE,FALSE,178,50.935921,-3.905634,england,267.6,long,FALSE,Devon,Devon
STN_langley,Langley,LNY,Great Western Main Line,FALSE,FALSE,24,51.508011,-0.541747,england,25.3,local,FALSE,Thames Valley,Berkshire
STN_lapford,Lapford,LAP,Tarka Line,FALSE,FALSE,170,50.857384,-3.811489,england,263.7,long,FALSE,Devon,Devon
STN_lawrence_hill,Lawrence Hill,LWH,Severn Beach Line,FALSE,FALSE,90,51.458168,-2.564183,england,165.5,long,FALSE,Bristol,Bristol
STN_ledbury,Ledbury,LED,Oxford & Hereford Line,FALSE,FALSE,165,52.044991,-2.425728,england,165.6,long,FALSE,Cotswolds,Herefordshire
STN_lelant,Lelant,LEL,St Ives Bay Line,FALSE,FALSE,295,50.183887,-5.436207,england,397.8,remote,FALSE,,Cornwall
STN_lelant_saltings,Lelant Saltings,LTS,St Ives Bay Line,FALSE,FALSE,300,50.17923,-5.441468,england,398.3,remote,FALSE,,Cornwall
STN_liskeard,Liskeard,LSK,Great Western Main Line,FALSE,TRUE,210,50.446711,-4.46753,england,323,remote,FALSE,Thames Valley,Cornwall
STN_llanelli,Llanelli,LLE,South Wales Main Line,FALSE,FALSE,165,51.673405,-4.162068,wales,275.9,long,FALSE,South Wales,South Wales
